unit_id,detector,category,extraction_status,usable,why,summary,n_sites,quote_grades,cannot_extract,missed_shape,notes
apache_commons-collections__84e70353ad,D1,stale-usage-of-pruned-import,ok,True,ok,"import `fail` removed by theirs; 3 usage site(s), added by ours",3,exact/exact,,,"T2: merged body omitted, so stale fail() sites are quoted from OURS diff (the added testPartitionByChunkSize) rather than the merged window; line numbers unknown (-1). Merged-vs-developer diff is the key confirmation that merged lost the fail import. Compile delta reads (none) because it is single-file javac and may not fully resolve static import breakage; the actual failure surfaces at compile/test time in the full module build."
ardesco_selenium-standalone-server-plugin__957d978135,D2,stale-caller-of-changed-signature,ok,True,ok,return_type_changed+param_type_changed; arity_changed=no by theirs; decl_visible=yes; 4 call site(s); Theirs retyped getBinaryFilenames() to return List<String> (and typed the local filenamesW,4,exact/exact/exact,,,"Two coupled mechanisms. Theirs widened BinaryType.getBinaryFilenames()/constructor from ArrayList<String> to List<String>; ours added helper methods untarFolder/unzipFolder taking ArrayList<String> and an EXE/FIREFOX FIREFOX entry using new ArrayList<String>(). In merged, List<String> locals are passed to ArrayList<String> helper params (the D2 mismatch). Separately, the 4 RESOLVE errors in BinaryType.java are a pruned-import effect: theirs removed 'import java.util.ArrayList' while ours' FIREFOX uses new ArrayList<String>(). Developer fix retyped helper params to List and re-added the ArrayList import."
atam4j_atam4j__71fcecb071,D1,stale-usage-of-pruned-import,ok,True,ok,"import `PassingTest` replaced by ours; 1 usage site(s), added by theirs",1,exact/exact,,,"Second interacting concern in File 2: theirs added `import javax.ws.rs.client.Client;` plus a `Client` field, ours removed the JerseyClientBuilder-based usage; the developer resolution deleted that import (COMPILE DELTA: `package javax.ws.rs.client does not exist`). That is an unresolved-type/import problem separate from the labeled PassingTest pruning in File 1. The primary D1 shape (PassingTest import pruned by ours, usage kept by theirs) is clear."
buddycloud_buddycloud-server-java__48e4675ee2,D2,stale-caller-of-changed-signature,partial,True,ok,param_added; arity_changed=yes by ours; decl_visible=no; 1 call site(s); THEIRS-added test rsmStillAddedWhenThereAreNoResults stubs getNodeItemReplies with 4 args ,1,exact/exact/exact,"d2.old_signature/new_signature (actual declaration): The changed method getNodeItemReplies is declared in the ChannelManager interface, which is not one of the two files shown in this unit; only call sites are visible, so the verbatim declaration line cannot be quoted.",,"OURS added boolean 'after' param to ChannelManager.getNodeItemReplies (interface not in unit) and updated its own production call + tests to 5 args. THEIRS added a new test using the old 4-arg mock. Mergiraf kept both tests; the theirs test (merged line 280) stubs the wrong arity so the mock never returns the expected iterator, failing assertions. Ours-side tests were converted to eq(true)/eq(false); theirs-side was not."
cloudfoundry_cf-java-client__80d0a0dff9,D2,stale-caller-of-changed-signature,partial,False,old_sig=missing/absent new_sig=missing/absent call_sites=ok,name_and_signature+return_type_changed; arity_changed=no by ours; decl_visible=no; 2 call site(s); The theirs-added update() method calls the old Reactor value-mapping API Mono.then(Functio,2,empty/empty/exact,"d2.old_signature: The changed methods are Reactor library APIs (Mono.then(Function) and Mono.when(...)); their declarations live in the reactor-core library, not in any file shown in this unit.; d2.new_signature: The replacement Reactor APIs (Mono.flatMap(Function) and Mono.zip(...)) are declared in the external reactor-core library, not visible in this unit.",,"Reactor-core upgrade: ours rewrote every reactive chain from .then(Function)/Mono.when to .flatMap/Mono.zip; theirs independently added update() using the old-shape .then(...)/Mono.when(...). Mergiraf kept both, leaving the new method stranded on the removed API. Signature change is cross-file (external library), so only inferable from call-site drift within the file. Compile delta reports none (single-file javac without reactor on classpath), so the breakage surfaces only in the full build/test."
cloudfoundry_cf-java-client__a9d35d542d,D2,stale-caller-of-changed-signature,partial,False,old_sig=ok new_sig=ok call_sites=none-verify,"param_added; arity_changed=yes by theirs; decl_visible=yes; 0 call site(s); OURS refactored list() to build a 4-element tuple (getApplicationNames, getDomainName, Mon",0,exact/exact,"d2.stale_call_sites: MERGED RESULT bodies omitted at T2; the merged list() method (which builds the 4-element tuple and applies function(DefaultRoutes::toRoute)) is only visible in the OURS/THEIRS diffs against base, not in the merged output, so no verbatim merged line with a real line number can be quoted",,"Interaction: THEIRS added the `service` element throughout list() and to toRoute's signature; OURS independently rewrote list() (Mono.when->zip, .then->flatMap) keeping the 4-element tuple. Mergiraf apparently took OURS' 4-tuple list body but THEIRS' 5-param toRoute, producing an arity mismatch at the function(DefaultRoutes::toRoute) adapter. Compile delta is (none) because single-file javac cannot resolve cross-file types (RouteResource etc.), so the tuple/lambda arity error is not observed in isolation."
cternes_openkeepass__bb53512ab2,D1,stale-usage-of-pruned-import,ok,True,ok,"import `Group` removed by theirs; 2 usage site(s), added by ours",2,exact/exact,,,"COMPILE DELTA is (none) because single-file javac cannot resolve any domain imports in either version, so the differential shows nothing; the real breakage is the missing Group import combined with the ours-added test method. Merged bodies were omitted at T2 but the MERGED-vs-DEVELOPER diff exposes both the merged import block (no Group) and the offending method with derivable line numbers."
datastax_java-driver__e1535e89ad,D3,stale-reference-to-removed-declaration,ok,True,ok,field removed by ours; 1 ref site(s); rm2=no joern=no,1,exact/exact,,"Field isShutdown was removed on the ours side (not renamed); theirs added a fresh reference isShutdown.get(), so RM2 sees no rename and Joern's both-parents guard is broken because the field is unresolvable in the ours parent.","Note: a same-named method isShutdown() is kept and used elsewhere (lines 102 etc.), but the stale reference at line 134 is a field access to the removed AtomicBoolean field. MERGED equals developer resolution per the harness, yet tests failed — the field-access compile break is not visible in the single-file javac delta (many cross-file symbols unresolved anyway)."
dius_java-faker__9f0019116a,D1,stale-usage-of-pruned-import,ok,True,ok,"import `isEmptyOrNullString` narrowed by ours; 1 usage site(s), added by theirs",1,exact/exact,,,"isEmptyOrNullString is a static-import method reference (matcher). Ours renamed its own usages to emptyOrNullString; the failure is theirs' new test using the older matcher name whose star import ours pruned. Compile delta shows (none) because single-file javac cannot resolve the external hamcrest symbol anyway, but the real merged build fails on the unresolved static import."
dtrules_dtrules__505c5cbf82,D1,stale-usage-of-pruned-import,ok,True,ok,"import `RulesDirectory` removed by ours; 1 usage site(s), added by theirs",1,exact/exact,,,"Compile delta reports (none) for single-file javac, but that is because the tool compiles Trace.java in isolation without the com.dtrules.session classes on classpath; the real breakage is the unresolved RulesDirectory reference at line 102. Merged==developer resolution shows no textual difference, so the silent failure is downstream (build/test) not resolved by developer either — worth double-checking."
elisarver_selophane__4ecc600017,D3,stale-reference-to-renamed-or-relocated-declaration,partial,False,decl=missing/absent refs=ok verdicts=ok missed_shape=ok,class relocated by theirs; 1 ref site(s); rm2=no joern=no,1,empty/exact,"d3.old_declaration: The Select class declaration lives in another file (originally org.selophane.elements, relocated to org.selophane.elements.widget) not part of this 2-file unit; only the reference site is visible.","Cross-file class relocated into a subpackage empties org.selophane.elements, so the surviving wildcard import plus ours' `Select option1` field no longer resolve — a type/import-resolution break neither the rename lane (it's a move, cross-file) nor Joern (type resolution) detects.","Root cause straddles D1/D3: theirs relocated all classes out of org.selophane.elements into subpackages (widget/base/factory.api), so the retained wildcard `import org.selophane.elements.*;` and ours' new `public Select option1;` cannot resolve — compile delta confirms `package org.selophane.elements does not exist`. Developer resolution adds `import org.selophane.elements.widget.Select;`. The Select declaration is not in the shown files."
feroult_yawp__141f79a8e9,D1,stale-usage-of-pruned-import,ok,True,ok,"import `List` removed by ours; 2 usage site(s), added by theirs",2,exact/exact,,,"Note the COMPILE DELTA reports (none) and MERGED equals DEV resolution, so single-file javac here shows no error — suggests the failure surfaced only at test/full-build level, or the developer resolution matched the same broken imports. Still a textbook D1: ours removed java.util.List/ArrayList imports while theirs added a method depending on both."
gitools_gitools__02221bf3d8,D3,stale-reference-to-renamed-or-relocated-declaration,partial,False,decl=missing/absent refs=ok verdicts=ok missed_shape=ok,class relocated by ours; 1 ref site(s); rm2=no joern=no,1,empty/exact,"d3.old_declaration: the relocated class IMatrixViewDimension is declared in a file outside this unit (only its imports/usages are visible), so the actual old declaration site is not shown",Cross-file package relocation (org.gitools.matrix.model -> org.gitools.core.matrix.model) surfaced as a stale import to the old package added by theirs and kept by the merge; neither the file-local rename lane nor the identifier-resolution lane detects broken import/type resolution of a class declared in another file.,"OURS relocated every matrix/heatmap reference to the org.gitools.core.* packages; THEIRS added new code using IMatrixViewDimension via `import org.gitools.matrix.model.IMatrixViewDimension;` (old package). Mergiraf kept both, leaving the stale old-package import. Compile delta confirms: [RESOLVE] package org.gitools.matrix.model does not exist. Files 1 and 2 show the same relocation but no stale references survived there."
gwtbootstrap3_gwtbootstrap3__5c0d1eab79,D3,stale-reference-to-removed-declaration,ok,True,ok,class removed by ours; 2 ref site(s); rm2=no joern=no,2,exact/exact,,"A removed inner class is referenced only through a constructor call/type name (`new SubmitEvent()`); RM2 sees a deletion not a rename, and Joern treats `SubmitEvent` as a type/constructor reference (not an identifier node) unresolved in one parent, so neither lane fires.","Ours deleted inner SubmitEvent/SubmitHandler and switched its references to FormPanel.SubmitEvent; theirs edited fireSubmitEvent to use the local `SubmitEvent event = new SubmitEvent();`. Merged keeps theirs' body but ours' deletion, leaving an unresolved type. Note COMPILE DELTA is (none) and merged equals developer resolution, so single-file javac may not surface it (GWT types off classpath); breakage is behavioral/at project build."
imixs_imixs-workflow__23b86de5b4,D3,stale-reference-to-renamed-or-relocated-declaration,ok,True,ok,other relocated by ours; 2 ref site(s); rm2=no joern=no,2,exact/exact,,"External library type relocated by javax->jakarta migration: theirs added a `javax.ejb.AccessTimeout` import+annotation while ours migrated the ejb package to jakarta.ejb, leaving an import to a package that no longer exists — pure type/import-resolution breakage neither RM2 nor Joern covers.","Real failure is in FILE 2 (compile delta: [RESOLVE] package javax.ejb does not exist). This is effectively a stale-usage-of-a-relocated-import: ours performed javax->jakarta migration; theirs independently added `import javax.ejb.AccessTimeout;` and `@AccessTimeout(...)`. Mergiraf kept both, yielding a dangling javax.ejb reference. FILE 1 changes are benign (import migration + logging edit)."
javaparser_javaparser__41a398414f,D2,stale-caller-of-changed-signature,partial,False,old_sig=missing/absent new_sig=missing/absent call_sites=ok,return_type_changed; arity_changed=no by theirs; decl_visible=no; 1 call site(s); OURS's new toMethodUsage calls getTypeDeclaration().getAllMethods() treating the result as,1,empty/empty/exact,d2.old_signature: declaration of ResolvedReferenceType.getTypeDeclaration() lives in a file outside this unit; only call sites are visible; d2.new_signature: the Optional-returning declaration of getTypeDeclaration() is cross-file and not shown; only theirs' adapted call sites reveal the new shape,,"Signature change is cross-file: THEIRS migrated ResolvedReferenceType.getTypeDeclaration() (and ResolvedClassDeclaration.getSuperClass()) to return Optional, adapting all its own call sites (visible in theirs diffs). OURS independently rewrote toMethodUsage to call getTypeDeclaration().getAllMethods() on the OLD non-Optional shape. Merge combined both, leaving the stale caller. Single-file javac shows no error because the callee type is on the classpath, not in these files; COMPILE DELTA (none) and MERGED==DEV both reflect that this only breaks against the migrated external types."
javaparser_javaparser__dc6254f1bf,D3,stale-reference-to-removed-declaration,ok,True,ok,method removed by ours; 1 ref site(s); rm2=no joern=no,1,exact/exact,,"File-local removed method (getWrappedNode) referenced by a method call in a theirs-added method body: RM2 sees only removal not rename, and Joern is blind to calls, so neither lane fires.","OURS deleted the interface implementation and all instance members (getWrappedNode, getType, etc.); THEIRS added an @Override isVariable() calling getWrappedNode(). Mergiraf kept isVariable() in the now-interfaceless final class. The actual javac error is [OTHER] 'method does not override or implement a method from a supertype' (the stale @Override), and the getWrappedNode() call is also unresolved. Both failure facets are call/annotation shaped, outside RM2 and Joern lanes."
jcabi_jcabi-github__b13d2596ba,D3,stale-reference-to-removed-declaration,ok,True,ok,method removed by ours; 2 ref site(s); rm2=no joern=no,2,exact/exact,,"Same-file removed private method still called by the other side's added tests (iteratesIssues/createsNewMilestone); RM2 sees no rename and Joern ignores method calls, so neither lane fires.","File 1 (RtIssueITCase) merged cleanly with a harmless import-ordering difference only. The real failure is File 2: OURS deleted the milestones() helper while THEIRS re-enabled iteratesIssues/createsNewMilestone that call milestones(), leaving unresolved calls. Compile delta shows (none) because single-file javac lacks project classpath, but the merged file references an undeclared method."
