"merge_id","bucket","verdict","confidence","ruling","reason"
"jacquesberger_jsonparsingexample__ac521954c2","high","attributed","high","ACCEPT",""
"kaazing_robot__084cc0b426","high","attributed","high","ACCEPT",""
"jdupl_lancoder__407742ea19","high","attributed","high","ACCEPT",""
"sandergielisse_enderstone__df0826f63b","high","attributed","high","ACCEPT",""
"jline_jline2__5acfe59453","high","attributed","high","ACCEPT",""
"segmentio_analytics-java__0d4a7b4e69","medium","attributed","medium","ACCEPT",""
"jmetal_jmetal__162d1a63b7","medium","attributed","medium","ACCEPT",""
"mercadopago_sdk-java__9dfc950fd2","medium","attributed","medium","ACCEPT",""
"cternes_openkeepass__bb53512ab2","medium","attributed","medium","ACCEPT",""
"movsim_movsim__6dae25caf7","medium","attributed","medium","ACCEPT",""
"glowroot_glowroot__5edc6961f8","low_or_escape","indeterminate","medium","REJECT-UNSUPPORTED","not a good representation of the silent merge conflicts"
"j256_ormlite-core__606986f118","low_or_escape","indeterminate","medium","REJECT-UNSUPPORTED","not a good representation of the silent merge conflicts"
"garbagemule_mobarena__b34dc0d5ac","low_or_escape","none-identified","high","REJECT-UNSUPPORTED","not a good representation of the silent merge conflicts"
"javaparser_javaparser__ff91564b7f","low_or_escape","indeterminate","medium","REJECT-UNSUPPORTED","not a good representation of the silent merge conflicts "
"jdeparser_jdeparser2__868afefbb4","low_or_escape","indeterminate","low","ACCEPT",""
