mid,kind,split,stratum,agreed,a,b,final,accepted,note
"apache_directory-kerby__798f1b4348","disagree","derivation","B","","indeterminate","none-identified","indeterminate","",""
"apache_olingo-odata4__820b462f49","disagree","derivation","A","","none-identified","indeterminate","indeterminate","",""
"apache_opennlp__8240a2c660","disagree","derivation","B","","none-identified","overlapping-edit-interleaving","none-identified","",""
"apache_roller__1628c3a3c4","disagree","heldout","B","","indeterminate","none-identified","indeterminate","",""
"apache_shiro__13806fc623","disagree","heldout","A","","indeterminate","stale-expectation-of-changed-behavior","indeterminate","",""
"ardesco_selenium-standalone-server-plugin__957d978135","disagree","derivation","B","","stale-caller-of-changed-signature","stale-usage-of-pruned-import","stale-caller-of-changed-signature","",""
"bguerout_jongo__3aaaf0e4c7","disagree","derivation","A","","stale-reference-to-removed-declaration","indeterminate","indeterminate","",""
"buschmais_extended-objects__46ec306cf6","disagree","heldout","A","","none-identified","indeterminate","indeterminate","",""
"clojure_clojure__77342d2e35","disagree","heldout","A","","indeterminate","stale-reference-to-renamed-or-relocated-declaration","indeterminate","",""
"cloudfoundry_cf-java-client__b0add1ef2a","disagree","derivation","A","","overlapping-edit-interleaving","stale-caller-of-changed-signature","overlapping-edit-interleaving","",""
"cternes_openkeepass__bb53512ab2","disagree","derivation","A","","stale-usage-of-pruned-import","indeterminate","stale-usage-of-pruned-import","",""
"fasterxml_jackson-datatype-joda__4e6c266339","disagree","heldout","A","","flaky-suspect","none-identified","none-identified","",""
"flaxsearch_luwak__666bdd192e","disagree","heldout","B","","indeterminate","stale-caller-of-changed-signature","stale-caller-of-changed-signature","",""
"flaxsearch_luwak__7956093330","disagree","heldout","B","","indeterminate","none-identified","none-identified","",""
"frankbille_scoreboard__890ecd0bdb","disagree","heldout","A","","overlapping-edit-interleaving","indeterminate","indeterminate","",""
"glowroot_glowroot__5edc6961f8","disagree","derivation","B","","none-identified","indeterminate","none-identified","",""
"gwtbootstrap3_gwtbootstrap3__5c0d1eab79","disagree","derivation","A","","stale-reference-to-renamed-or-relocated-declaration","stale-reference-to-removed-declaration","stale-reference-to-removed-declaration","",""
"imixs_imixs-workflow__d370e1aa34","disagree","derivation","B","","none-identified","indeterminate","none-identified","",""
"jcabi_jcabi-github__fccaac2ed7","disagree","heldout","B","","none-identified","indeterminate","none-identified","",""
"jdeparser_jdeparser2__868afefbb4","disagree","derivation","B","","overlapping-edit-interleaving","stale-reference-to-removed-declaration","stale-reference-to-removed-declaration","",""
"jenkinsci_build-timeout-plugin__daeab4a1ee","disagree","derivation","B","","indeterminate","stale-usage-of-pruned-import","stale-usage-of-pruned-import","",""
"jenkinsci_credentials-plugin__e9cf377a17","disagree","derivation","B","","indeterminate","stale-usage-of-pruned-import","stale-usage-of-pruned-import","",""
"jenkinsci_docker-build-publish-plugin__59faa9673c","disagree","derivation","A","","none-identified","indeterminate","indeterminate","",""
"jenkinsci_junit-plugin__cfcac8f0c9","disagree","heldout","B","","none-identified","indeterminate","indeterminate","",""
"jparsec_jparsec__ef02642abd","disagree","heldout","A","","none-identified","indeterminate","indeterminate","",""
"jsprit_jsprit__c60ab8afd0","disagree","heldout","B","","indeterminate","stale-reference-to-renamed-or-relocated-declaration","stale-reference-to-renamed-or-relocated-declaration","",""
"mbosecke_pebble__4466be45d7","disagree","heldout","B","","indeterminate","none-identified","none-identified","",""
"mbosecke_pebble__bb807558a3","disagree","heldout","B","","indeterminate","stale-usage-of-pruned-import","stale-usage-of-pruned-import","",""
"mbosecke_pebble__e1d07bf277","disagree","derivation","B","","none-identified","indeterminate","none-identified","",""
"ninjaframework_ninja__663883c228","disagree","derivation","A","","none-identified","indeterminate","none-identified","",""
"qcadoo_mes__c6cb8180e5","disagree","derivation","B","","stale-reference-to-renamed-or-relocated-declaration","indeterminate","stale-reference-to-renamed-or-relocated-declaration","",""
"sander2798_enderstone__9d0d7b7ba8","disagree","derivation","B","","stale-usage-of-pruned-import","stale-expectation-of-changed-behavior","stale-usage-of-pruned-import","",""
"sandergielisse_enderstone__9d0d7b7ba8","disagree","heldout","B","","stale-expectation-of-changed-behavior","stale-usage-of-pruned-import","stale-usage-of-pruned-import","",""
"skyscreamer_nevado__cdc23cde46","disagree","heldout","A","","none-identified","indeterminate","none-identified","",""
"softinstigate_restheart__dc14776b02","disagree","derivation","B","","none-identified","stale-usage-of-pruned-import","stale-usage-of-pruned-import","",""
"spigotmc_bungeecord__8943fe2bd2","disagree","derivation","B","","overlapping-edit-interleaving","none-identified","none-identified","",""
"spigotmc_bungeecord__96db0c71b8","disagree","heldout","B","","indeterminate","none-identified","none-identified","",""
"square_javapoet__d019b6f624","disagree","derivation","A","","stale-usage-of-pruned-import","none-identified","stale-usage-of-pruned-import","",""
"steveice10_mcprotocollib__5c8a435832","disagree","derivation","A","","indeterminate","none-identified","indeterminate","",""
"steveice10_mcprotocollib__8a7d7b196b","disagree","heldout","B","","indeterminate","stale-usage-of-pruned-import","stale-usage-of-pruned-import","",""
"structr_structr__6738b144bb","disagree","derivation","B","","indeterminate","none-identified","none-identified","",""
"swagger-api_swagger-parser__41ccee4da3","disagree","derivation","A","","none-identified","flaky-suspect","none-identified","",""
"vkostyukov_la4j__843d8ff9de","disagree","derivation","B","","none-identified","indeterminate","indeterminate","",""
"vkostyukov_la4j__d216aa8928","disagree","derivation","A","","indeterminate","stale-expectation-of-changed-behavior","stale-expectation-of-changed-behavior","",""
"wordnik_swagger-codegen__dbadd9a831","disagree","heldout","B","","indeterminate","none-identified","indeterminate","",""
"xebia_xebium__a82603c978","disagree","derivation","A","","indeterminate","stale-reference-to-renamed-or-relocated-declaration","indeterminate","",""
"zxing_zxing__26d5d13836","disagree","heldout","B","","none-identified","indeterminate","none-identified","",""
"ebay_xcelite__463d8a2f0d","agree","heldout","B","none-identified","none-identified","none-identified","none-identified","1",""
"javaparser_javaparser__41a398414f","agree","derivation","A","stale-caller-of-changed-signature","stale-caller-of-changed-signature","stale-caller-of-changed-signature","stale-caller-of-changed-signature","1",""
"jenkinsci_ui-samples-plugin__81bf937a3d","agree","heldout","A","stale-usage-of-pruned-import","stale-usage-of-pruned-import","stale-usage-of-pruned-import","stale-usage-of-pruned-import","1",""
"jnr_jnr-unixsocket__467698b6bd","agree","derivation","A","stale-usage-of-pruned-import","stale-usage-of-pruned-import","stale-usage-of-pruned-import","stale-usage-of-pruned-import","1",""
"jsprit_jsprit__193d4ec85c","agree","derivation","B","indeterminate","indeterminate","indeterminate","indeterminate","1",""
"monitorjbl_excel-streaming-reader__5c0538482f","agree","derivation","B","indeterminate","indeterminate","indeterminate","indeterminate","1",""
"prism_prism-bukkit__c9fd69aac9","agree","derivation","B","none-identified","none-identified","none-identified","none-identified","1",""
"relayrides_pushy__6badde9538","agree","derivation","A","indeterminate","indeterminate","indeterminate","indeterminate","1",""
"sandergielisse_enderstone__3de930e0ed","agree","heldout","A","none-identified","none-identified","none-identified","none-identified","1",""
"sandergielisse_enderstone__febdb02eb3","agree","derivation","B","stale-caller-of-changed-signature","stale-caller-of-changed-signature","stale-caller-of-changed-signature","stale-caller-of-changed-signature","1",""
"segmentio_analytics-java__0d4a7b4e69","agree","derivation","A","stale-usage-of-pruned-import","stale-usage-of-pruned-import","stale-usage-of-pruned-import","stale-usage-of-pruned-import","1",""
"urbanairship_java-library__bbe0297a10","agree","derivation","A","stale-caller-of-changed-signature","stale-caller-of-changed-signature","stale-caller-of-changed-signature","stale-caller-of-changed-signature","1",""
