"merge_id","category","arms","lane","ruling","unit_rollup","rationale"
"apache_commons-collections__15b62fb08d","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] theirs pruned the iterators.* wildcard; ours concurrently added testPairedIterator using bare PairedIterator; merged keeps the use with no covering import (no other import supplies the name: the file's package is org.apache.commons.collections4 and PairedIterator lives in the iterators subpackage — AMENDED 2026-09-05: the draft's 'surviving PairedIterator.PairedItem nested import' does not exist in this file; it is in the sibling IterableUtils.java) → compile error, the labeled mechanism. CONVENTION: dev file is byte-identical (same human mistake; feature later backed out of mainline) — ruling judges the merged artifact, so dev-identical does not downgrade."
"dabsquared_gitlab-plugin__d555b8773d","indeterminate","experimental","JoernUnresolvedReference","DETECTOR-FP","","[accepted Claude draft] ours EXTRACTED the nested class GitLabCredentialMatcher to its own same-package file (verified present at the merge commit: connection/GitLabCredentialMatcher.java), keeping the new-site; merged resolves it by same-package lookup. The file-local differential cannot see the extracted file — the lane's documented same-package residual (Amendment-2 ceiling). Merged text compiles; label indeterminate is consistent."
"feroult_yawp__1723236a65","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] theirs removed import endpoint.HttpException with its uses; ours kept 3 uses; merged retains 1 use at L86 with no covering import → compile error, the labeled mechanism. Dev-identical; CAUSAL per convention."
"google_truth__2e4a23bebb","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] ours' side dropped the static org.junit.Assert.fail import path; merged keeps one bare fail(...) call (L64; four other calls are qualified ASSERT.fail) and no covering static import → compile error. AMENDED 2026-09-05: the draft's '14 uses' / '15 bare fail(...) calls' were token counts, not calls. Dev-identical; CAUSAL per convention."
"javamoney_jsr354-api__6d2356a153","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] Cleanest shape: ours removed @Ignore usage+import entirely; theirs kept 3 uses; merged keeps 1 use with no import → compile error. Developer resolved by DROPPING the usage (dev=0 uses) — mergiraf-only breakage, no dev-identical caveat needed."
"jenkinsci_credentials-plugin__b9cb5f9d1b","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] Double prune: ours dropped java.io.ByteArrayOutputStream + io.jenkins...ConfigurationAsCode imports; theirs kept both with uses; merged keeps 4+2 uses uncovered → compile errors. Dev kept the imports (dev≠merged) — mergiraf-only breakage."
"jenkinsci_ui-samples-plugin__81bf937a3d","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] theirs pruned org.kohsuke.stapler.StaplerRequest import+uses; ours kept 3 uses; merged retains 1 use uncovered → compile error. Dev kept the import (dev≠merged) — mergiraf-only breakage."
"jnr_jnr-unixsocket__f8f34e5634","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] theirs' new LibraryLoader uses rode in while the jnr.ffi.* wildcard that covered them was pruned; merged has 2 uses, no cover → compile error. Dev-identical; CAUSAL per convention."
"mbosecke_pebble__bb807558a3","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] ours pruned com...template.EvaluationContext import; theirs kept 3 uses; merged retains 1 use uncovered → compile error. Dev-identical; CAUSAL per convention."
"progether_jadventure__e28401af85","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] ours pruned com.jadventure.game.QueueProvider import+uses; theirs kept 4 uses; merged retains 3 uncovered → compile errors. Dev kept the import (dev≠merged) — mergiraf-only breakage."
